alligator;aggressive;attri
alligator;aquatic;attri
alligator;big;attri
alligator;carnivorous;attri
alligator;dangerous;attri
alligator;ferocious;attri
alligator;frightening;attri
alligator;green;attri
alligator;heavy;attri
alligator;hungry;attri
alligator;large;attri
alligator;long;attri
alligator;old;attri
alligator;scary;attri
alligator;wild;attri
alligator;young;attri
alligator;crocodile;coord
alligator;frog;coord
alligator;lizard;coord
alligator;snake;coord
alligator;toad;coord
alligator;turtle;coord
alligator;attack;event
alligator;bask;event
alligator;breathe;event
alligator;chase;event
alligator;die;event
alligator;drink;event
alligator;eat;event
alligator;frighten;event
alligator;hide;event
alligator;hunt;event
alligator;kill;event
alligator;live;event
alligator;poach;event
alligator;run;event
alligator;shoot;event
alligator;sleep;event
alligator;swim;event
alligator;walk;event
alligator;animal;hyper
alligator;beast;hyper
alligator;carnivore;hyper
alligator;chordate;hyper
alligator;creature;hyper
alligator;predator;hyper
alligator;reptile;hyper
alligator;vertebrate;hyper
alligator;eye;mero
alligator;foot;mero
alligator;jaw;mero
alligator;leg;mero
alligator;mouth;mero
alligator;scale;mero
alligator;skin;mero
alligator;tail;mero
alligator;tooth;mero
alligator;cardiac;random
alligator;constructive;random
alligator;electronic;random
alligator;experienced;random
alligator;impulsive;random
alligator;likely;random
alligator;minimum;random
alligator;possible;random
alligator;previous;random
alligator;social;random
alligator;syntactic;random
alligator;twin;random
alligator;unbelievable;random
alligator;addition;random
alligator;alternative;random
alligator;answer;random
alligator;arrears;random
alligator;clone;random
alligator;contestant;random
alligator;continent;random
alligator;courthouse;random
alligator;dock;random
alligator;handgun;random
alligator;message;random
alligator;methyl;random
alligator;recombination;random
alligator;rectifier;random
alligator;st;random
alligator;teenager;random
alligator;trombone;random
alligator;vitro;random
alligator;administer;random
alligator;admire;random
alligator;conclude;random
alligator;enable;random
alligator;experience;random
alligator;fetch;random
alligator;find;random
alligator;implement;random
alligator;label;random
alligator;propel;random
alligator;redesignated;random
alligator;remember;random
alligator;root;random
alligator;unfurl;random
alligator;view;random
alligator;warn;random
frog;amphibious;attri
frog;aquatic;attri
frog;brown;attri
frog;colorful;attri
frog;edible;attri
frog;green;attri
frog;little;attri
frog;loud;attri
frog;noisy;attri
frog;old;attri
frog;poisonous;attri
frog;small;attri
frog;ugly;attri
frog;wild;attri
frog;alligator;coord
frog;bullfrog;coord
frog;lizard;coord
frog;snake;coord
frog;toad;coord
frog;turtle;coord
frog;breathe;event
frog;catch;event
frog;chase;event
frog;croak;event
frog;die;event
frog;drink;event
frog;eat;event
frog;hop;event
frog;kill;event
frog;lay;event
frog;leap;event
frog;live;event
frog;sit;event
frog;swim;event
frog;amphibian;hyper
frog;animal;hyper
