asylum;madhouse;3.04;0.34329
asylum;cemetery;0.79;0.016103
asylum;fruit;0.19;0
asylum;monk;0.39;0
autograph;signature;3.59;0.11128
autograph;shore;0.06  ;0
automobile;car;3.92;0.28522
automobile;cushion;0.97;0.056692
automobile;wizard;0.11  ;0
bird;crane;2.63;0.10291
bird;cock;2.63;0.044448
bird;woodland;1.24;0.037905
boy;lad;3.82;0.12287
boy;rooster;0.44;0.02571
boy;sage;0.96;0.02081
brother;monk;2.74;0.1721
brother;lad;2.41;0.033723
car;journey;1.55;0.0067917
cemetery;graveyard;3.88;0.9019
cemetery;woodland;1.18;0.0054746
cemetery;mound;1.69;0.0032405
coast;shore;3.60;0.19416
coast;hill;1.26;0.077155
coast;forest;0.85;0.0051601
cock;rooster;3.68;0.27933
cord;string;3.41;0.097693
cord;smile;0.02  ;0.045511
crane;rooster;1.41;0.0063546
crane;implement;2.37;0
cushion;pillow;3.84;0.47199
cushion;jewel;0.45;0
food;fruit;2.69;0.0092815
food;rooster;1.09;0
forest;woodland;3.65;0.15284
forest;graveyard;1.00;0.064063
fruit;furnace;0.05  ;0
furnace;stove;3.11;0.33858
furnace;implement;1.37;0
gem;jewel;3.94;0.3741
glass;tumbler;3.45;0.1313
glass;magician;0.44;0.048086
glass;jewel;1.78;0
graveyard;madhouse;0.42;0.023092
grin;smile;3.46;0.35346
grin;implement;0.18;0
grin;lad;0.88;0
hill;mound;3.29;0.35035
hill;woodland;1.48;0
implement;tool;3.66;0.042337
journey;voyage;3.58;0.45178
lad;wizard;0.99;0.02482
magician;wizard;3.21;0.52967
magician;oracle;1.82;0.0023281
midday;noon;3.94;1
monk;slave;0.57;0.05072
monk;oracle;0.91;0
mound;stove;0.14;0
mound;shore;0.97;0
noon;string;0.04  ;0
oracle;sage;2.61;0.038374
rooster;voyage;0.04 ;0
sage;wizard;2.46;0.025609
serf;slave;3.46;0.12364
shore;voyage;1.22;0.081188
shore;woodland;0.90;0.0067744
