abuse;molest;coord;0.5628
abuse;misuse;coord;0.49433
abuse;mistreatment;coord;0.29344
abuse;rape;coord;0.29288
abuse;maltreatment;coord;0.28365
abuse;exploitation;coord;0.26657
abuse;violence;coord;0.26431
abuse;mistreat;coord;0.24279
abuse;cruelty;coord;0.24104
abuse;ill-treat;coord;0.23755
abuse;neglect;coord;0.1822
abuse;harm;coord;0.17725
abuse;oppression;coord;0.1712
abuse;violation;coord;0.16869
abuse;ill-treatment;coord;0.16443
abuse;intimidation;coord;0.1473
abuse;exploit;coord;0.13923
abuse;prostitution;coord;0.12838
abuse;manipulate;coord;0.1065
abuse;maltreat;coord;0.10198
abuse;manipulation;coord;0.092871
abuse;ribaldry;coord;0.090937
abuse;insults;coord;0.087
abuse;persecution;coord;0.085585
abuse;insult;coord;0.084344
abuse;girl;random;0.07916
abuse;form;random;0.078717
abuse;cursing;coord;0.075037
abuse;desecration;coord;0.0684
abuse;hurt;coord;0.060597
abuse;measure;random;0.05891
abuse;outrage;coord;0.056699
abuse;swearing;coord;0.055969
abuse;forger;random;0.054093
abuse;vilification;coord;0.051227
abuse;consultation;random;0.049346
abuse;kink;random;0.044406
abuse;waste;coord;0.038705
abuse;invective;coord;0.038511
abuse;acquire;random;0.037829
abuse;period;random;0.035045
abuse;parson;random;0.034947
abuse;economy;random;0.033522
abuse;embodiment;random;0.032778
abuse;paving;random;0.032466
abuse;decree;random;0.031933
abuse;name-calling;coord;0.03052
abuse;gag;random;0.025829
abuse;swear;coord;0.022809
abuse;network;random;0.022566
abuse;smash;random;0.022545
abuse;naik;random;0.022162
abuse;injure;coord;0.021084
abuse;profanation;coord;0.020987
abuse;juggle;random;0.020523
abuse;earth;random;0.019352
abuse;tyrant;random;0.019166
abuse;oath;coord;0.018626
abuse;faggot;random;0.018447
abuse;remonstrate;random;0.017223
abuse;vituperation;coord;0.015263
abuse;scupper;random;0.013743
abuse;offertory;random;0.013539
abuse;commissariat;random;0.0135
abuse;brainstorm;random;0.01341
abuse;chameleon;random;0.013033
abuse;volley;random;0.012755
abuse;armory;random;0.01192
abuse;bubble;random;0.010308
abuse;heifer;random;0.010252
abuse;contumely;coord;0.0098923
abuse;batter;coord;0.0096498
abuse;gulp;random;0.0093176
abuse;sentinel;random;0.0089328
abuse;loop;random;0.0088759
abuse;steamship;random;0.0085969
abuse;tell-tale;random;0.0085149
abuse;revilement;coord;0.0080787
abuse;sauce;coord;0.0068882
abuse;hoist;random;0.0065825
abuse;egotist;random;0.0051295
abuse;scurrility;coord;0.0045662
abuse;piquet;random;0.0042436
abuse;arboriculture;random;0.0034938
abuse;billingsgate;coord;0.002667
abuse;raff;random;0.0025456
abuse;cb;random;0.0023946
abuse;high-low;random;0.002306
abuse;roti;random;0.0015053
abuse;polka;random;0.0012263
abuse;minacity;coord;0
abuse;objurgation;coord;0
abuse;mercature;random;0
abuse;pigwidgeon;random;0
